Suburb,AGE,DESCRIPTION,FEM_POP,MALE_POP,TOTAL_POP,MODE_DEM,COMMUTE,NO_ARTS,DOG_PARK,NO_GRAFITTI,GRAFFITI_IMG,NO_BBQ,NO_PARKS_AND_PLAYGROUNDS,NO_FIT_SITES,NO_BB_CRTS,NO_SKATE_PARKS,NO_HOSPITALS
Hawker,1972,,1441,1388,2829,MALE AGE 85+,11.06,0,0,1,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,0,1,0,0,1,0
Higgins,1968,,1443,1514,2957,MALE AGE 8,12.66,0,0,0,,0,0,0,0,0,0
Holder,1970,,1245,1245,2490,FEMALE AGE 85+,10.69,0,0,1,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,0,1,0,0,1,0
Holt,1970,,2539,2320,4859,FEMALE AGE 40,14.8,0,0,0,,0,1,16,0,0,0
Hughes,1963,,1516,1431,2947,FEMALE AGE 85+,7.53,0,0,0,,1,0,0,0,0,0
Hume,1982,,32,288,320,MALE AGE 27,10.52,0,0,0,,0,0,0,0,0,0
Isaacs,1986,,1189,1121,2310,FEMALE AGE 85+,10.52,0,0,0,,0,1,0,0,0,0
Isabella Plains,1985,,2201,2123,4324,MALE AGE 29,14.33,0,0,2,"http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg, http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg",0,0,0,0,2,0
Kaleen,1974,,3667,3821,7488,FEMALE AGE 61,10.32,0,0,2,"http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg, http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg, ",0,0,4,0,2,0
Kambah,1974,,7453,7270,14723,FEMALE AGE 65,12.86,0,0,1,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,7,3,6,6,1,0
Kingston,1928,,3038 (Combined with Barton),2901 (Combined with Barton),5939 (Combined with Barton),FEMALE AGE 29,6.44,2,0,0,,1,1,0,1,0,0
